Fabricante,Data,Codigo,Produto,Qtd
GREE,7724,Evap K7 GULD24T1/A-SAI G-Prime Inverter Compact IA R32 Frio 220V - Gree,25,45943,
GREE,7725,Cond K7 GULD24W1/NhA-S G-Prime Inverter Compact IA R32 Frio 220V - Gree,25,45943,
GREE,7721,Painel K7 TF08A IA G-Prime Inverter Compact IA - Gree,25,45943,
DAIKIN,5513,Cond. 2MXC18RMVM p/ R32- MULTI - Q/F - Daikin,63,45944,10/10/2025 reagendado para o dia 14/10/2025
DAIKIN,5530,Evap. HW09  CTXC09RMVM p/ R32 - Daikin,160,45944,10/10/2025 reagendado para o dia 14/10/2025
DAIKIN,5514,Cond. 3MKC18S5VL p/ R32 - MULTI - Frio - Daikin,100,45944,10/10/2025 reagendado para o dia 14/10/2025
DAIKIN,5502,Cond. 4MXS28PMVM - MULTI - Q/F - Daikin,37,45944,10/10/2025 reagendado para o dia 14/10/2025
DAIKIN,5160,Evap. FTKC24T5VL Full Inverter R-32  24 Frio - Daikin,14,45944,10/10/2025 reagendado para o dia 14/10/2025
DAIKIN,5161,Cond. RKC24T5VL Full Inverter R-32  24 Frio - Daikin,14,45944,10/10/2025 reagendado para o dia 14/10/2025
DAIKIN,5527,Evap. HW18  CTXS18PMVM - Daikin,50,45944,10/10/2025 reagendado para o dia 14/10/2025
DAIKIN,5529,Evap. HW24  CTXS24PMVM  - Daikin,50,45944,10/10/2025 reagendado para o dia 14/10/2025
DAIKIN,5500,Cond. 3MXS18PMVM - MULTI - Q/F - Daikin,9,45944,10/10/2025 reagendado para o dia 14/10/2025
DAIKIN,5512,Cond. 2MXS18PMVM - MULTI - Q/F - Daikin,44,45944,10/10/2025 reagendado para o dia 14/10/2025
DAIKIN,5500,Cond. 3MXS18PMVM - MULTI - Q/F - Daikin,29,45944,10/10/2025 reagendado para o dia 14/10/2025
DAIKIN,5501,Cond. 3MXS24PMVM - MULTI - Q/F - Daikin,22,45944,10/10/2025 reagendado para o dia 14/10/2025
DAIKIN,5501,Cond. 3MXS24PMVM - MULTI - Q/F - Daikin,2,45944,10/10/2025 reagendado para o dia 14/10/2025
DAIKIN,5508,Cond. 4MXS34PMVM - MULTI - Q/F - Daikin,34,45944,10/10/2025 reagendado para o dia 14/10/2025
DAIKIN,5527,Evap. HW18  CTXS18PMVM - Daikin,50,45944,10/10/2025 reagendado para o dia 14/10/2025
GREE,7619,Evap. PT GULD57ZD1/A-S G-Prime Inverter Compact R32 220-240V FRIO Mono - Gree,109,45944,
GREE,7620,Cond. PT GULD56W1/NhA-S G-Prime Inverter Compact R32 220-240V FRIO Mono - Gree,109,45944,
GREE,7078,Evap. GWC12ATC-D6DNA1A/I - G-Top Auto Inverter - Gree,83,45944,
GREE,7079,Cond. GWC12ATC-D6DNA1A/O - G-Top Auto Inverter - Gree,83,45944,
GREE,7187,Evap. GWH18ATD-D6DNA1A/I - G-Top Auto Inverter - Gree,205,45944,
GREE,7188,Cond. GWH18ATD-D6DNA1A/O - G-Top Auto Inverter - Gree,205,45944,
GREE,7191,Evap. GWH24ATE-D6DNA1A/I - G-Top Auto Inverter - Gree,12,45944,
GREE,7192,Cond. GWH24ATE-D6DNA1A/O - G-Top Auto Inverter - Gree,12,45944,
